"","name","price_3","branch","price_2","price_1","group","type","",""
"","DH-HAC-T1A21P","215.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DH-HAC-T1A21P-U-IL-A","275.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DH-HAC-B1A21P-U-IL-A","280.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DH-HAC-HFW1200RLP-IL-T","315.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DH-HAC-HFW1200TLMP-IL-T","395.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DH-XVR1B04-I/T","700.000","XVR","","","","KHUYENMAI","",""
"","DH-XVR1B08-I/T","835.000","XVR","","","","KHUYENMAI","",""
"","DH-XVR5104HS-I3","1.020.000","XVR","","","","KHUYENMAI","",""
"","DH-XVR5108HS-I3","1.530.000","XVR","","","","KHUYENMAI","",""
"","DS-2CE76D0T-EXLMF","300.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DS-2CE16D0T-EXLF","340.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DS-2CE16D0T-LPTS","355.000","CAM ANALOG","","","","KHUYENMAI","",""
"","DS-7204HGHI-M1","760.000","XVR","","","","KHUYENMAI","",""
"","DS-7208HGHI-M1","955.000","XVR","","","","KHUYENMAI","",""
"","DS-7204HQHI-M1/E","1.040.000","XVR","","","","KHUYENMAI","",""
"","iDS-7208HQHI-M1/E","1.630.000","XVR","","","","KHUYENMAI","",""
"","KX-AD2112C-A","215.000","CAM ANALOG","","","","KHUYENMAI","",""
"","KX-AD2111C-A","275.000","CAM ANALOG","","","","KHUYENMAI","",""
"","KX-AD2112C-A","265.000","CAM ANALOG","","","","KHUYENMAI","",""
"","KX-AD2113C-T","400.000","CAM ANALOG","","","","KHUYENMAI","",""
"","KX-7104T","730.000","XVR","","","","KHUYENMAI","",""
"","KX-7108T","810.000","XVR","","","","KHUYENMAI","",""
"","KX-DAi8104H3-5M","1.260.000","XVR","","","","KHUYENMAI","",""
"","DH-IPC-HDW1230T2-A","515.000","CAMERA IP","","","","KHUYENMAI","",""
"","DH-IPC-HDW1239V-A-IL","735.000","CAMERA IP","","","","KHUYENMAI","",""
"","DH-IPC-HFW1230DS-SAW","440.000","CAMERA IP","","","","KHUYENMAI","",""
"","DH-IPC-HFW1239MP-A-IL","835.000","CAMERA IP","","","","KHUYENMAI","",""
"","DH-IPC-HFW1230TL2-S5","495.000","CAMERA IP","","","","KHUYENMAI","",""
"","IPC-HFW1239MP-A-IL","715.000","CAMERA IP","","","","KHUYENMAI","",""
"","DHI-NVR1104HS-S3/H","600.000","NVR","","","","KHUYENMAI","",""
"","DHI-NVR1108HS-S3/H","765.000","NVR","","","","KHUYENMAI","",""
"","DHI-NVR4104HS-4KS3","1.450.000","NVR","","","","KHUYENMAI","",""
"","DHI-NVR4108HS-4KS3","1.550.000","NVR","","","","KHUYENMAI","",""
"","DS-2CD1021G1-I","530.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1321G0-I","550.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1023G2-LIU(F)","850.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1123G2-LIU(F)","870.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1323G2-LIUF","815.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1043G2-LIUF","1.190.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1143G2-LIUF","1.260.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1T21G2-LIU","810.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-2CD1321G2-LIU","610.000","CAMERA IP","","","","KHUYENMAI","",""
"","DS-7104NI-Q1/M","810.000","NVR","","","","KHUYENMAI","",""
"","DS-7108NI-Q1/M","930.000","NVR","","","","KHUYENMAI","",""
"","DS-7604NXI-K1","1.560.000","NVR","","","","KHUYENMAI","",""
"","DS-7608NXI-K1","1.740.000","NVR","","","","KHUYENMAI","",""
"","KX-A2111CN-A-VN","485.000","CAMERA IP","","","","KHUYENMAI","",""
"","KX-A2112CN3","430.000","CAMERA IP","","","","KHUYENMAI","",""
"","KX-AD2111CN-A","545.000","CAMERA IP","","","","KHUYENMAI","",""
"","KX-A2011LN-A","530.000","CAMERA IP","","","","KHUYENMAI","",""
"","KX-A8124N2","530.000","NVR","","","","KHUYENMAI","",""
"","KX-A8128N2","730.000","NVR","","","","KHUYENMAI","",""
"","KX-A4K8108N3","1.255.000","NVR","","","","KHUYENMAI","",""
