"CRETA SHOP Địa chỉ: 40 Bảy Hiền - P.11 - Tân Bình - Hồ Chí Minh","","","","","","","","",""
"","","","","Cập nhật: ","1/6/2026","","","",""
"","Hình ảnh","TÊN MÃ","Mã đồng bộ","HÃNG","","","Trạng thái","",""
"1","","IPC-HFW1339DTK2-SAW-IL","DA-1","DAHUA","550.000","500.000","Còn hàng","01/06/2026","9,1%"
"3","","IPC-C32EP-IMOU","IM-1","IMOU","400.000","365.000","Còn hàng","01/06/2026","8,8%"
"4","","IPC-A32EP-IMOU","IM-2","IMOU","398.000","370.000","Còn hàng","01/06/2026","7,0%"
"5","","IPC-A52P-IMOU","IM-3","IMOU","560.000","513.000","Còn hàng","01/06/2026","8,4%"
"6","","IPC-A32P-PRO (Có màu ban đêm) ","IM-4","IMOU","465.000","423.000","Còn hàng","01/06/2026","9,0%"
"7","","IPC-A52P-PRO (Có màu ban đêm) ","IM-5","IMOU","575.000","525.000","Còn hàng","01/06/2026","8,7%"
"8","","IPC-K2MP-3H1WE","IM-6","IMOU","475.000","430.000","Còn hàng","01/06/2026","9,5%"
"9","","IPC-K2MP-5H1WE","IM-7","IMOU","580.000","530.000","Còn hàng","01/06/2026","8,6%"
"11","","IPC-F32P-IMOU","IM-9","IMOU","600.000","545.000","Còn hàng","01/06/2026","9,2%"
"12","","IPC-F32FP-IMOU","IM-10","IMOU","690.000","632.000","Còn hàng","01/06/2026","8,4%"
"13","","IPC-F52P-IMOU","IM-11","IMOU","635.000","580.000","Còn hàng","01/06/2026","8,7%"
"14","","IPC-F52FP-IMOU","IM-12","IMOU","765.000","700.000","Còn hàng","01/06/2026","8,5%"
"12","","IPC-S3EP-3M0WE-IMOU (thay thế F22FEP)","","IMOU","770.000","698.000","Còn hàng","01/06/2026","9,4%"
"15","","IPC-S3EP-5M0WE-IMOU (thay thế F42FEP)","IM-14","IMOU","870.000","800.000","Còn hàng","01/06/2026","8,0%"
"16","","IPC-S31FEP-IMOU","IM-15","IMOU","790.000","720.000","Còn hàng","01/06/2026","8,9%"
"17","","IPC-S51FEP-IMOU","IM-16","IMOU","890.000","790.000","Còn hàng","01/06/2026","11,2%"
"18","","IPC-S7DP-5M0WEZ","IM-17","IMOU","1.300.000","1.190.000","Còn hàng","01/06/2026","8,5%"
"19","","IPC-S2XEP-6M0S-IMOU","","IMOU","800.000","720.000","Còn hàng","01/06/2026","10,0%"
"20","","IPC-S7XEP-6M0WED-IMOU ","IM-20","IMOU","1.330.000","1.200.000","Còn hàng","01/06/2026","9,8%"
"21","","IPC-S7XEP-10M0WED-IMOU","IM-21","IMOU","1.460.000","1.320.000","Còn hàng","01/06/2026","9,6%"
"22","","IPC-S7XCP-6M1TED-EU (4G)","IM-22","IMOU","1.500.000","1.370.000","Còn hàng","01/06/2026","8,7%"
"24","","IPC-S7UP-11M0WED-IMOU","IM-24","IMOU","1.630.000","1.470.000","Còn hàng","01/06/2026","9,8%"
"25","","CS-C1C","EZ-1","EZVIZ","380.000","352.000","Còn hàng","01/06/2026","7,4%"
"26","","CS-H6C PRO (3MP)","EZ-2","EZVIZ","420.000","378.000","Còn hàng","01/06/2026","10,0%"
"27","","CS-H3C 2.0MP (Không màu)","EZ-4","EZVIZ","590.000","540.000","Còn hàng","01/06/2026","8,5%"
"29","","CS-H3C 4.0MP","EZ-7","EZVIZ","950.000","860.000","Còn hàng","01/06/2026","9,5%"
"30","","CS-H8C PRO 3.0MP","EZ-8","EZVIZ","720.000","655.000","Còn hàng","01/06/2026","9,0%"
"31","","CS-H8C PRO 5.0MP","EZ-9","EZVIZ","940.000","850.000","Còn hàng","01/06/2026","9,6%"
"32","","CS-H8C 3MP 4G","EZ-10","EZVIZ","990.000","910.000","Còn hàng","01/06/2026","8,1%"
"33","","H7C Dual lens (4mp + 4mp)","EZ-11","EZVIZ","1.090.000","990.000","Còn hàng","01/06/2026","9,2%"
"34","","H9c Dual (5MP+5MP)","EZ-12","EZVIZ","1.350.000","1.235.000","Còn hàng","01/06/2026","8,5%"
"35","","CS-C8C 3K (5MP)","EZ-13","EZVIZ","910.000","820.000","Còn hàng","01/06/2026","9,9%"
"36","","CS-H8 PRO (5MP)","EZ-14","EZVIZ","1.390.000","1.260.000","Còn hàng","01/06/2026","9,4%"
