Tên hàng,Giá nhập,Code
IPC-HFW1339DTK2-SAW-IL,500000,DA-1
IPC-HFW1539DTK2-SAW-IL,525000,DA-2
IPC-C32EP-IMOU,365000,IM-1
IPC-A32EP-IMOU,370000,IM-2
IPC-A52P-IMOU,513000,IM-3
IPC-A32P-PRO (Có màu ban đêm),423000,IM-4
IPC-A52P-PRO (Có màu ban đêm),525000,IM-5
IPC-K2MP-3H1WE,430000,IM-6
IPC-K2MP-3H1WE,498000,IM-6
IPC-K2MP-5H1WE,530000,IM-7
IPC-GK2DP-3C0W,548000,IM-8
IPC-F32P-IMOU,545000,IM-9
IPC-F32FP-IMOU,632000,IM-10
IPC-F52P-IMOU,580000,IM-11
IPC-F52FP-IMOU,700000,IM-12
IPC-S3EP-3M0WE-IMOU (thay thế F22FEP),698000,
IPC-S3EP-5M0WE-IMOU (thay thế F42FEP),800000,IM-14
IPC-S31FEP-IMOU,720000,IM-15
IPC-S51FEP-IMOU,790000,IM-16
IPC-S7DP-5M0WEZ,1190000,IM-17
IPC-S2XP-10M0WED-IMOU,758000,IM-19
IPC-S2XEP-6M0S-IMOU,720000,
IPC-S7XEP-6M0WED-IMOU,1200000,IM-20
IPC-S7XEP-10M0WED-IMOU,1320000,IM-21
IPC-S7XCP-6M1TED-EU (4G),1370000,IM-22
IPC-B7ED-5M0TEA-EU/FSP14 (4G),1835000,IM-23
IPC-S7UP-11M0WED-IMOU,1470000,IM-24
CS-C1C,352000,EZ-1
CS-H6C PRO (3MP),378000,EZ-2
CS-H6C PRO 5MP,457000,EZ-3
CS-H3C 2.0MP (Không màu),540000,EZ-4
CS-H3C 2.0MP (Có màu),543000,EZ-5
CS-H3C 4.0MP,860000,EZ-7
CS-H8C PRO 3.0MP,655000,EZ-8
CS-H8C PRO 5.0MP,850000,EZ-9
CS-H8C 3MP 4G,910000,EZ-10
H7C Dual lens (4mp + 4mp),990000,EZ-11
H9c Dual (5MP+5MP),1235000,EZ-12
CS-C8C 3K (5MP),820000,EZ-13
CS-H8 PRO (5MP),1260000,EZ-14
DH-H4AE,413000,
