Tên hàng,Giá bán,Code
IPC-HFW1339DTK2-SAW-IL,550000,DA-1
DH-IPC-HFW1430DT-STW,650000,
IPC-HFW1539DTK2-SAW-IL,580000,DA-2
IPC-C32EP-IMOU,400000,IM-1
IPC-A22EP-L-IMOU,375000,
IPC-A32EP-IMOU,398000,IM-2
IPC-A52P-IMOU,560000,IM-3
IPC-A32P-PRO (Có màu ban đêm),465000,IM-4
IPC-A52P-PRO (Có màu ban đêm),575000,IM-5
IPC-K2MP-3H1WE,475000,IM-6
IPC-K2MP-3H1WE,550000,IM-6
IPC-K2MP-5H1WE,580000,IM-7
IPC-GK2DP-3C0W,600000,IM-8
IPC-F32P-IMOU,600000,IM-9
IPC-F32FP-IMOU,690000,IM-10
IPC-F52P-IMOU,635000,IM-11
IPC-F52FP-IMOU,765000,IM-12
IPC-S3DP-3M0WJ,625000,IM-13
IPC-S3EP-3M0WE-IMOU (thay thế F22FEP),770000,
IPC-S3EP-5M0WE-IMOU (thay thế F42FEP),870000,IM-14
IPC-S31FEP-IMOU,790000,IM-15
IPC-S51FEP-IMOU,890000,IM-16
IPC-S2VP-5M0WR,830000,
IPC-S7DP-5M0WEZ,1300000,IM-17
IPC-GS7EP-3M0WE-IMOU,820000,
IPC-GS7EP-5M0WE-IMOU,955000,
IPC-S2XP-6M0WED-IMOU,690000,IM-18
IPC-S2XP-10M0WED-IMOU,825000,IM-19
IPC-S2XEP-6M0S-IMOU,800000,
IPC-S7XP-10M0WED-IMOU,1235000,
IPC-S7XEP-6M0WED-IMOU,1330000,IM-20
IPC-S7XEP-10M0WED-IMOU,1460000,IM-21
IPC-S7XCP-6M1TED-EU (4G),1500000,IM-22
IPC-B7ED-5M0TEA-EU/FSP14 (4G),2000000,IM-23
IPC-S7UP-11M0WED-IMOU,1630000,IM-24
NVR1104HS-W-S2-FCC
Chỉ dùng cho camera IMOU, khuyến nghị nên thành thạo trước khi sử dụng.,1030000,
NVR1108HS-W-S2-FCC
Chỉ dùng cho camera IMOU, khuyến nghị nên thành thạo trước khi sử dụng.,1190000,
CS-C1C,380000,EZ-1
CS-H6C PRO (3MP),420000,EZ-2
CS-H6C PRO 5MP,495000,EZ-3
CS-H3C 2.0MP (Không màu),590000,EZ-4
CS-H3C 2.0MP (Có màu),590000,EZ-5
CS-H3C 3.0MP,800000,EZ-6
CS-H3C 4.0MP,950000,EZ-7
CS-H8C PRO 3.0MP,720000,EZ-8
CS-H8C PRO 5.0MP,940000,EZ-9
CS-H8C 3MP 4G,990000,EZ-10
H7C Dual lens (4mp + 4mp),1090000,EZ-11
H9c Dual (5MP+5MP),1350000,EZ-12
CS-C8C 3K (5MP),910000,EZ-13
CS-H8 PRO (5MP),1390000,EZ-14
DH-H4AE,460000,
